file,course,source,start,end,text
230.json,"Discrete Mathematics by Prof. Benny George K, Prof. Sajith Gopalan (Lec 27-43)",NPTEL,0:27,1:05,in this lecture we will see a very useful principle from combinatorics known as pigeonhole principle the principle is extremely simple so simple that it is difficult to imagine that this can be of use okay the principle is very simple to state suppose you have n objects say n balls and they are distributed into k bins if n is
230.json,"Discrete Mathematics by Prof. Benny George K, Prof. Sajith Gopalan (Lec 27-43)",NPTEL,1:05,1:41,greater than k then there will exist a bin with more than ball so that is the principle so if you have n balls and they are distributed into k bins where n is greater than k then there will be a bin at least bin which has more than one ball it is almost selfevident
230.json,"Discrete Mathematics by Prof. Benny George K, Prof. Sajith Gopalan (Lec 27-43)",NPTEL,1:41,1:58,if the number of bins is small and if all of them had less than or equal to one ball then the total number of balls is going to be only it is going to be less than or equal to k but the number of balls is greater than k and therefore the statement must be true
230.json,"Discrete Mathematics by Prof. Benny George K, Prof. Sajith Gopalan (Lec 27-43)",NPTEL,1:58,2:17,so let us let us see some applications of this so pigeonhole principle of course is very simple to state the power of this principle comes from the wide variety of ways in which you can set up balls and bins so let us look at a problem which can be solved
230.json,"Discrete Mathematics by Prof. Benny George K, Prof. Sajith Gopalan (Lec 27-43)",NPTEL,2:17,2:59,using pigeonhole principle so let us look at this sequence so consider this following sequence consisting of numbers and so on so the ith element of the sequence would be and so on i times now let us look at the theorem or the result states that there will surely be an element in the sequence which is divisible by let us say
230.json,"Discrete Mathematics by Prof. Benny George K, Prof. Sajith Gopalan (Lec 27-43)",NPTEL,2:59,3:34,ok so one element is this there will be an element in the sequence which is divisible by now how do we prove this what is the method is this first of all is this statement even be true why should there be an element in the sequence consisting of s
230.json,"Discrete Mathematics by Prof. Benny George K, Prof. Sajith Gopalan (Lec 27-43)",NPTEL,3:34,3:52,the ith element being repeated i times so one of this is going to be divisible by the number there is nothing sacrosanct about there is a wide you can substitute it with a lot of other numbers the few numbers that you cannot you can look at the proof
230.json,"Discrete Mathematics by Prof. Benny George K, Prof. Sajith Gopalan (Lec 27-43)",NPTEL,3:52,4:10,carefully to figure out what all numbers can come in place of so let us try and work out a proof for this so we will set up the balls and bins in a certain way such that we can argue that there will be a bin which contains more than one
230.json,"Discrete Mathematics by Prof. Benny George K, Prof. Sajith Gopalan (Lec 27-43)",NPTEL,4:10,4:40,ball and that is going to be used to construct the proof of divisibility so here one of these numbers to be divisible by so what we can do is try and divide these numbers by you will get infinitely many numbers so let us just take let us say elements of the sequence so and so on we will look at the first
230.json,"Discrete Mathematics by Prof. Benny George K, Prof. Sajith Gopalan (Lec 27-43)",NPTEL,4:40,5:08,elements of this sequence and divide each one of them by you will get some remainder ok if any one of them is then we know that we have some numbers in the sequence which is divisible by what if none of them is so that is the case that we are interested
