file,course,source,start,end,text
164.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:05,0:17,a second example lets see the a second example lets see the temperature of different places lets temperature of different places lets temperature of different places lets say delhi has degrees celsius say delhi has degrees celsius say delhi has degrees celsius temperature and bombay has degrees temperature and bombay has degrees
164.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:17,0:27,temperature and bombay has degrees celsius temperature celsius temperature celsius temperature well darling has degrees and shimla well darling has degrees and shimla well darling has degrees and shimla has degrees
165.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:05,0:12,what do you see in common in both the what do you see in common in both the examples the first example was about examples the first example was about examples the first example was about your parking fee per hour the parking your parking fee per hour the parking
165.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:12,0:22,your parking fee per hour the parking fee was dependent on that duration fee was dependent on that duration fee was dependent on that duration correct in the second example the correct in the second example the correct in the second example the temperature was dependent on the place temperature was dependent on the place
165.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:22,0:32,temperature was dependent on the place right as you can see the right side right as you can see the right side right as you can see the right side depends on what is on the left side
166.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:06,0:14,do you see the two sets here one is a do you see the two sets here one is a one is be a come contains zero one two one is be a come contains zero one two one is be a come contains zero one two three four and five and b contains zero
166.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:14,0:23,three four and five and b contains zero three four and five and b contains zero two four six eight and ten correct two four six eight and ten correct two four six eight and ten correct let us take another example zero one two let us take another example zero one two
166.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:23,0:37,let us take another example zero one two three four five once again in this set c three four five once again in this set c three four five once again in this set c and inside d we have and and inside d we have and and inside d we have and so why am i stating all these things you
166.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:37,0:39,so why am i stating all these things you so why am i stating all these things you will soon see
167.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:05,0:14,it is only straightforward to observe it is only straightforward to observe what is happening here from the sec a to what is happening here from the sec a to what is happening here from the sec a to be you observed that it was x for every be you observed that it was x for every
167.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:14,0:24,be you observed that it was x for every element you multiplied it by and he element you multiplied it by and he element you multiplied it by and he got an element on this side for sexy and got an element on this side for sexy and got an element on this side for sexy and d it was the square right so went to
167.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:24,0:35,d it was the square right so went to d it was the square right so went to square is mapped to square square is mapped to square square is mapped to square corresponds to square to square corresponds to square to square corresponds to square to square to square and v v square which is
169.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:04,0:13,let us define what a function is let us define what a function is formally you saw a couple of examples formally you saw a couple of examples formally you saw a couple of examples right in fact many examples lets take right in fact many examples lets take right in fact many examples lets take the examples that we told you just now
169.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:13,0:22,the examples that we told you just now the examples that we told you just now of abc and d from a to b there is an of abc and d from a to b there is an of abc and d from a to b there is an association of every element to a unique
169.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:22,0:28,association of every element to a unique association of every element to a unique element on this side right so zero is element on this side right so zero is element on this side right so zero is associated with zero one was associated associated with zero one was associated
169.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:28,0:38,associated with zero one was associated with one im sorry with one im sorry with one im sorry to two was mapped to to to and to two was mapped to to to and to two was mapped to to to and to right you see this is called a
169.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:38,0:45,to right you see this is called a to right you see this is called a function second example the mapping was function second example the mapping was function second example the mapping was in general a term x going to x square in general a term x going to x square
169.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:45,0:53,in general a term x going to x square correct correct correct so by a function we mean something that so by a function we mean something that so by a function we mean something that maps elements of the left left side to maps elements of the left left side to
169.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:53,0:57,maps elements of the left left side to unique elements of the right side
170.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:07,0:12,by unique i mean an element this side is by unique i mean an element this side is mapped to an element this side it mapped to an element this side it mapped to an element this side it doesnt so happen but an element on this doesnt so happen but an element on this
170.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:12,0:21,doesnt so happen but an element on this side gets mapped to two elements this side gets mapped to two elements this side gets mapped to two elements this side that is not allowed however two side that is not allowed however two side that is not allowed however two elements on the left can get mapped to
